N,M,best_val_mse,final_val_mse,min_val_mae,best_epoch,training_time_sec,converged,final_val_mae,effective_samples
1,100,0.4700100060665246,0.5211526889993687,0.5348789716007734,50,2.014005661010742,True,0.5670263117009943,100
1,200,0.3852542530406605,0.4233314437095565,0.4756650828351878,114,4.490038156509399,True,0.4828261173132694,200
1,500,0.38450819843947287,0.40825022687815654,0.43678385416666665,143,10.65530776977539,True,0.4531218865905145,500
1,1000,0.11059225063131313,0.15756896047881155,0.21097393613873106,319,40.071645736694336,True,0.23684872713955965,1000
1,2000,0.06712857641354956,0.07290658661813447,0.14600762261284722,201,49.87834620475769,True,0.14943767509075126,2000
1,5000,0.018921688383768412,0.024730045533130976,0.0734470918897755,189,113.22786283493042,True,0.07901552668451935,5000
1,10000,0.010095925917002285,0.012938607865097849,0.0537155575372956,219,252.86995887756348,True,0.056663948026570404,10000
1,15000,0.00852195310902286,0.009033222533454578,0.04677418247305094,242,412.36540603637695,True,0.04738739757076205,15000
2,100,0.49106561294709794,0.4999763989689374,0.5274918681443339,83,5.73136568069458,True,0.5424989257195983,200
2,200,0.3675726880930891,0.3776297135786577,0.4523943506105982,193,12.172494411468506,True,0.46442451862373735,400
2,500,0.4176088891848169,0.4385803530914615,0.4620191786024306,126,28.399580240249634,True,0.47437677865076544,1000
2,1000,0.07044974047728259,0.08249981812756471,0.15211550780016966,291,79.20638704299927,True,0.16261279173571652,2000
2,2000,0.06911881957391296,0.07689788702762489,0.14852802006885257,174,82.25413823127747,True,0.15438121448863634,4000
2,5000,0.01485471711712107,0.0188127975223314,0.06492942310972319,218,248.01844668388367,True,0.06985294233915235,10000
2,10000,0.008589175868440758,0.009160559582100672,0.048975214700807235,216,485.9537265300751,True,0.05036491731351071,20000
2,15000,0.004941564565689392,0.005659448158396177,0.0343028155310517,233,777.1395370960236,True,0.034667529315284176,30000
4,100,0.4940302010738488,0.5117310514353742,0.5379641850789387,106,19.71818494796753,True,0.5445731384585601,400
4,200,0.3756869345000296,0.3940260241730045,0.46063052283393013,209,61.01907467842102,True,0.4687281040230183,800
4,500,0.21009834751938328,0.23504790874442666,0.3003241413771504,266,141.25924158096313,True,0.31209448612097535,2000
4,1000,0.07778488505970349,0.08887473597671047,0.15875834455393784,241,189.91941833496094,True,0.16755043569237293,4000
4,2000,0.04491172459992496,0.052724650773135096,0.11804480335929177,212,211.45895314216614,True,0.1259279186075384,8000
4,5000,0.00973805061030938,0.012926494977218882,0.05202928589805755,297,631.2334027290344,True,0.05620683566474718,20000
4,10000,0.00888220118147067,0.01105763028714467,0.049260587939484554,175,781.3378584384918,True,0.0511426054449244,40000
4,15000,0.004159651917912322,0.004530604608541678,0.031034274522430638,277,1759.2429914474487,True,0.03150540386736745,60000
5,100,0.51513294258503,0.5316382514105903,0.5470425075954861,42,15.665709733963013,True,0.5669396679810804,500
5,200,0.2848806284894847,0.29038465095288823,0.3738317316228693,156,58.955185890197754,True,0.37675361247977823,1000
5,500,0.11078913216639048,0.1233439882837161,0.2001053041400332,258,152.78860116004944,True,0.20565381599195076,2500
5,1000,0.04502004912405303,0.061055198438239824,0.11620328344479955,274,227.16008496284485,True,0.12689730865786775,5000
5,2000,0.022825434533032506,0.028043499818215002,0.0840368142077973,219,246.03432941436768,True,0.08836241201920941,10000
5,5000,0.010647550108265284,0.011562680364804491,0.053591915283649746,271,727.8915612697601,True,0.05481626775639116,25000
5,10000,0.005990635163404724,0.00754898393907669,0.039804526012052185,214,1169.7262279987335,True,0.041142870959910476,50000
5,15000,0.005635385631177895,0.0065156261160213245,0.0370479758247434,183,1528.5363607406616,True,0.03818913621210011,75000
8,100,0.501488102806939,0.5328393415971235,0.541838511072024,96,40.775514364242554,True,0.563811364800039,800
8,200,0.3004155255327321,0.31264006730281946,0.38235976479270245,121,76.21310877799988,True,0.3894843910679672,1600
8,500,0.07920076100513188,0.08714521870468601,0.15855656633473406,295,254.46693873405457,True,0.16175114024769177,4000
8,1000,0.029437383806163616,0.03213864510709589,0.09359716068614612,229,327.8894073963165,True,0.09769637801430442,8000
8,2000,0.01676311901572979,0.01802595289367618,0.0685026082125577,225,410.1923007965088,True,0.06989598671595255,16000
8,5000,0.009207784621552988,0.009272362578547362,0.0472001234329108,169,780.1980357170105,True,0.0475578995365085,40000
8,10000,0.003206854974709903,0.0037395312718934183,0.02741898873990233,342,2941.394043445587,True,0.028222455264944015,80000
8,15000,0.0035150065362123334,0.0039339722708334355,0.028309845935761063,227,3016.9019553661346,True,0.029075427163275623,120000
10,100,0.38596956657640863,0.40246149698893224,0.44995088673601236,148,81.12962102890015,True,0.46333113776312934,1000
10,200,0.15129579775261157,0.16129981821233574,0.2543992919151229,272,185.76159691810608,True,0.2635607324465357,2000
10,500,0.08167038580383917,0.09184235004463581,0.16081995800288035,209,286.1918716430664,True,0.16828956218680952,5000
10,1000,0.026307603117677717,0.030478160828351978,0.09010041087240606,219,416.8028438091278,True,0.09304920005631612,10000
10,2000,0.016401983498832283,0.01866511620563783,0.06700087121594481,165,401.5373737812042,True,0.06896082189255383,20000
10,5000,0.006268139255487106,0.006672326968559487,0.03957846947014332,214,1231.0096826553345,True,0.04023626392537897,50000
10,10000,0.0040826995061202485,0.004406316771990422,0.03152194218202071,214,2457.07301402092,True,0.032146160909623814,100000
10,15000,0.003055177070200443,0.0034404242368923,0.026182978493533515,199,3426.5333454608917,True,0.026851513561056337,150000
15,100,0.3886110581934252,0.39450197573061346,0.44966134222268245,166,152.14989757537842,True,0.4567536325165719,1500
15,200,0.1093171045836375,0.1133393676192672,0.20565669127184932,225,297.9970700740814,True,0.2130794537990583,3000
15,500,0.05179412924022042,0.05736218953201437,0.13214892381197446,166,547.9559729099274,True,0.13483887695818925,7500
15,1000,0.02539948841566762,0.029096705765033815,0.0858387445245241,143,744.121660232544,True,0.08881473866949408,15000
15,2000,0.012750906061816527,0.014101141950956842,0.05913595723899413,170,1127.4385170936584,True,0.06010522474974265,30000
15,5000,0.004617925211933832,0.005150790727937626,0.03246363647713149,236,2271.431169271469,True,0.033431655356347,75000
15,10000,0.0030507781807504438,0.0031884387011378206,0.02572933003202786,169,3339.5949382781982,True,0.02591357543589514,150000
15,15000,0.001984819473794111,0.0021586045223728105,0.020484337815980275,243,6920.788742780685,True,0.0207720424523325,225000
20,100,0.32421587163751775,0.33646903856836186,0.3902241504553593,169,207.28116607666016,True,0.39241354971221004,2000
20,200,0.09361140270425818,0.09843091266323822,0.19049478974005188,213,445.52347898483276,True,0.19049478974005188,4000
20,500,0.0504994613724155,0.0573005010510658,0.12164827272608564,219,936.4324176311493,True,0.12713466540916815,10000
20,1000,0.020002130693419554,0.020626311557311,0.07450287102402507,175,1254.425273656845,True,0.07450287102402507,20000
20,2000,0.008790201972605605,0.009225995401767165,0.04697635512911913,242,2619.4716131687164,True,0.04803003843535077,40000
20,5000,0.003389481507862607,0.0038405048545224196,0.028075090389360083,261,3971.2226564884186,True,0.028785125676429636,100000
20,10000,0.002445349766037844,0.0024545911646252465,0.022817648713678404,211,6499.81772518158,True,0.022817648713678404,200000
20,15000,0.0015591862488904254,0.0017467485040648092,0.018229197533807757,351,15408.209945440292,True,0.01853205299056105,300000
30,100,0.31983073263457334,0.34513014591101443,0.3866793263239492,141,263.9266002178192,True,0.39826588871503127,3000
30,200,0.08541163434885969,0.093736620623656,0.1725902444987185,183,649.6312789916992,True,0.18151121878062035,6000
30,500,0.0331918608510133,0.03640560402125908,0.09632424460746393,174,1511.900802373886,True,0.09907213825053353,15000
30,1000,0.011571266603848291,0.01276295326768406,0.053268770060325946,254,3277.6979954242706,True,0.0552690646452305,30000
30,2000,0.006148615421412827,0.006636476440031749,0.036950910339872294,250,6720.10741186142,True,0.03775953479888864,60000
30,5000,0.0033917805656508595,0.003524233653263086,0.027382525358448616,215,7029.935487031937,True,0.027846194356399734,150000
30,10000,0.001650396233220209,0.001805094219213729,0.018502742415252068,219,14321.078921556473,True,0.018712264948065015,300000
30,15000,0.001376256443894444,0.0013892484915904127,0.016814503465300595,226,22115.526055574417,True,0.01687407268266035,450000
